"브랜드","차종","가격","연식","배기량","주행거리","색상","변속기","연료","선루프","LED헤드램프","어댑티드헤드램프","가죽시트","열선시트.앞좌석.","통풍시트","후방센서","스마트키","네비게이션.순정.","네비게이션.비순정.","전손유무","소유자.이전.횟수","침수유무"
"쉐보레","임팔라 2.5 LTZ",599,"2016.01",2457,182427,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"0",0
"쉐보레","올 뉴 말리부  1.5 터보 LTZ",1190,"2018.09",1490,86000,2,1,1,0,0,0,1,1,1,1,1,0,0,0,"0",0
"제네시스","더 올 뉴 G80 2.5 터보 AWD",3540,"2021.03",2497,122897,3,1,1,1,1,1,1,1,1,1,1,1,0,0,"0",0
"GM대우","알페온 EL240 프리미엄",259,"2012.08",2384,150000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"0",0
"기아","더 K9 3.8 AWD  플래티넘Ⅱ",3450,"2019.04",3778,48830,2,1,1,1,1,1,1,1,1,1,1,1,0,0,"0",0
"기아","더 K9 3.8  플래티넘",2500,"2019.01",3778,105000,3,1,1,0,0,0,0,0,0,0,0,0,0,0," 1회",0
"현대","아반떼MD 1.6 M16 프리미엄",399,"2011.02",1591,113000,1,1,1,0,0,0,1,1,0,1,1,0,0,0,"0",0
"기아","카니발 4세대 2.2 디젤 7인승 하이리무진  시그니처",4350,"2021.11",2151,80848,2,1,2,0,1,0,1,1,1,1,1,1,0,0,"0",0
"현대","그랜저IG 2.4 프리미엄",2090,"2018.02",2359,18723,2,1,1,0,0,0,1,1,1,1,1,1,0,0,"0",0
"KG모빌리티","티볼리 1.6 가솔린 2WD VX",940,"2016.06",1597,98172,2,1,1,0,0,0,1,0,0,1,1,1,0,0,"0",0
"기아","올 뉴 K3 1.6 트렌디",1130,"2019.09",1598,99965,3,1,1,0,0,0,1,1,0,1,1,0,0,0,"0",0
"현대","더 뉴 그랜저 3.0 LPi   프리미엄",2050,"2020.09",2999,120763,1,1,3,0,1,0,1,1,0,1,1,1,0,0,"0",0
